"filename", "language", "C++", "CMake", "Codex Rules", "JSON", "YAML", "Dart", "Markdown", "HTML", "Swift", "XML", "Properties", "comment", "blank", "total"
"c:\FlutterProject\truyen_huyen_thoai_real\lib\screens\account_screen.dart", "Dart", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 6, 11, 127
"c:\FlutterProject\truyen_huyen_thoai_real\lib\screens\chat_story_screen.dart", "Dart", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 22, 162
"c:\FlutterProject\truyen_huyen_thoai_real\lib\screens\edit_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 15, 180
"c:\FlutterProject\truyen_huyen_thoai_real\lib\screens\email_verification_screen.dart", "Dart", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 10, 23, 211
"c:\FlutterProject\truyen_huyen_thoai_real\lib\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 13, 14, 158
"c:\FlutterProject\truyen_huyen_thoai_real\lib\screens\sign_in_screen.dart", "Dart", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 9, 19, 205
"c:\FlutterProject\truyen_huyen_thoai_real\lib\screens\sign_up_screen.dart", "Dart", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 5, 15, 126
"c:\FlutterProject\truyen_huyen_thoai_real\lib\screens\story_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 31, 109
"c:\FlutterProject\truyen_huyen_thoai_real\lib\services\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 15, 22, 116
"c:\FlutterProject\truyen_huyen_thoai_real\lib\services\chapter_service.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 12, 55
"c:\FlutterProject\truyen_huyen_thoai_real\lib\services\comment_service.dart", "Dart", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 2, 11, 88
"c:\FlutterProject\truyen_huyen_thoai_real\lib\services\messages_service.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 7, 48
"c:\FlutterProject\truyen_huyen_thoai_real\lib\services\story_service.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 12, 18, 93
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\account_screen_background.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\account_tab_content.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 6, 52
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\account_tabs_bar.dart", "Dart", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 3, 6, 125
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\chapter_bottom_bar.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\chat_box.dart", "Dart", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 2, 17, 100
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\chat_bubble.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 9, 88
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\comments_section.dart", "Dart", 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 26, 264
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\glass_bottom_bar.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 13, 59
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\profile_header.dart", "Dart", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 11, 204
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\settings_button.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\settings_menu.dart", "Dart", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 6, 191
"c:\FlutterProject\truyen_huyen_thoai_real\lib\widgets\story_card.dart", "Dart", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 7, 6, 80
"c:\FlutterProject\truyen_huyen_thoai_real\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\FlutterProject\truyen_huyen_thoai_real\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\FlutterProject\truyen_huyen_thoai_real\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\FlutterProject\truyen_huyen_thoai_real\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\FlutterProject\truyen_huyen_thoai_real\linux\flutter\generated_plugins.cmake", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\FlutterProject\truyen_huyen_thoai_real\linux\runner\CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\FlutterProject\truyen_huyen_thoai_real\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\FlutterProject\truyen_huyen_thoai_real\linux\runner\my_application.cc", "C++", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 29, 149
"c:\FlutterProject\truyen_huyen_thoai_real\linux\runner\my_application.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 22
"c:\FlutterProject\truyen_huyen_thoai_real\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 4, 27
"c:\FlutterProject\truyen_huyen_thoai_real\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\FlutterProject\truyen_huyen_thoai_real\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\FlutterProject\truyen_huyen_thoai_real\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\FlutterProject\truyen_huyen_thoai_real\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\FlutterProject\truyen_huyen_thoai_real\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\FlutterProject\truyen_huyen_thoai_real\pubspec.yaml", "YAML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 60, 12, 96
"c:\FlutterProject\truyen_huyen_thoai_real\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\FlutterProject\truyen_huyen_thoai_real\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 23, 5, 47
"c:\FlutterProject\truyen_huyen_thoai_real\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\FlutterProject\truyen_huyen_thoai_real\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\FlutterProject\truyen_huyen_thoai_real\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\FlutterProject\truyen_huyen_thoai_real\windows\flutter\generated_plugin_registrant.cc", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\FlutterProject\truyen_huyen_thoai_real\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\FlutterProject\truyen_huyen_thoai_real\windows\flutter\generated_plugins.cmake", "CMake", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\FlutterProject\truyen_huyen_thoai_real\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\FlutterProject\truyen_huyen_thoai_real\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\FlutterProject\truyen_huyen_thoai_real\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\FlutterProject\truyen_huyen_thoai_real\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\FlutterProject\truyen_huyen_thoai_real\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\FlutterProject\truyen_huyen_thoai_real\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\FlutterProject\truyen_huyen_thoai_real\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\FlutterProject\truyen_huyen_thoai_real\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\FlutterProject\truyen_huyen_thoai_real\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 577, 470, 23, 300, 53, 3019, 25, 623, 75, 498, 7, 501, 937, 7108
